City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Busselton,AU,79.25,clear sky,-33.65,115.3333,Observatory Guest House
7,Hobart,AU,77.27,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
12,Soyo,AO,75.25,overcast clouds,-6.1349,12.3689,Hotel Mpampa
13,Esperance,AU,78.64,clear sky,-33.8667,121.9,Hospitality Esperance
17,Rabaul,PG,84.07,broken clouds,-4.1967,152.1721,Rabaul Hotel
23,Bengkulu,ID,84.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
30,Bandarbeyla,SO,77.83,scattered clouds,9.4942,50.8122,JABIR HOTEL
32,Atuona,PF,78.57,clear sky,-9.8,-139.0333,Villa Enata
35,Geraldton,AU,82.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
37,Muncar,ID,85.86,overcast clouds,-8.4333,114.3333,Zaky Homestay
38,Kavieng,PG,84.2,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
41,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
43,Amahai,ID,86.04,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
44,Butaritari,KI,81.93,light rain,3.0707,172.7902,Isles Sunset Lodge
47,New Norfolk,AU,75.9,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
48,Honiara,SB,80.98,overcast clouds,-9.4333,159.95,Heritage Park Hotel
55,Ende,ID,84.34,moderate rain,-8.8432,121.6623,Dwi Putra Hotel - Ende
57,Sola,VU,81.19,light rain,-13.8833,167.55,Leumerus Bungalows
71,Flinders,AU,89.8,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
75,Buchanan,LR,76.96,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
81,Hithadhoo,MV,83.28,overcast clouds,-0.6,73.0833,Scoop Guest House
84,Port Blair,IN,84.24,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
85,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
89,Sarangani,PH,81.66,moderate rain,5.4033,125.4636,Ballistic Islet
95,Mahebourg,MU,83.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
96,Rikitea,PF,78.87,overcast clouds,-23.1203,-134.9692,People ThankYou
105,Sinnamary,GF,76.55,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
107,Manaus,BR,75.69,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
112,Tiarei,PF,84.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
116,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
120,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
127,Phuket,TH,88.02,scattered clouds,8.0,98.25,The Surin
134,Port Hedland,AU,89.65,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
135,Souillac,MU,83.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
139,Georgetown,MY,89.53,scattered clouds,5.4112,100.3354,Cititel Penang
140,Meulaboh,ID,77.29,overcast clouds,4.1363,96.1285,Kost Pria
142,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
145,Faanui,PF,81.07,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
152,Yaring,TH,84.24,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
164,Acapulco,MX,75.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
167,Edd,ER,82.67,clear sky,13.9297,41.6925,
168,Saint-Philippe,RE,83.79,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
169,Tsiroanomandidy,MG,76.03,overcast clouds,-18.7667,46.0333,Hotel Ravinala
