City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nichinan,JP,31.6,131.3667,51.48,64,88,7.56,overcast clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,71.24,84,100,6.53,overcast clouds
2,Busselton,AU,-33.65,115.3333,79.25,41,1,10.6,clear sky
3,Makat,KZ,47.6469,53.3463,27.3,81,53,15.14,broken clouds
4,Ushuaia,AR,-54.8,-68.3,49.66,62,40,10.36,scattered clouds
5,Chokurdakh,RU,70.6333,147.9167,-41.73,99,90,6.46,overcast clouds
6,Richards Bay,ZA,-28.783,32.0377,74.97,70,0,5.35,clear sky
7,Hobart,AU,-42.8794,147.3294,77.27,46,75,13.8,broken clouds
8,Ust-Karsk,RU,52.7011,118.8077,11.25,76,99,2.59,overcast clouds
9,Gravdal,NO,68.1214,13.5031,33.69,86,75,14.97,light snow
10,Berdigestyakh,RU,62.0989,126.6992,-14.96,92,97,1.1,overcast clouds
11,Kapaa,US,22.0752,-159.319,73.72,80,40,6.91,scattered clouds
12,Soyo,AO,-6.1349,12.3689,75.25,84,92,6.08,overcast clouds
13,Esperance,AU,-33.8667,121.9,78.64,66,9,15.14,clear sky
14,Jamestown,US,42.097,-79.2353,27.72,47,0,9.22,clear sky
15,Beringovskiy,RU,63.05,179.3167,-17.88,86,2,14.58,clear sky
16,Bredy,RU,52.4153,60.3411,8.85,96,97,3.42,overcast clouds
17,Rabaul,PG,-4.1967,152.1721,84.07,71,53,11.83,broken clouds
18,Roberval,CA,48.5168,-72.2324,23.45,100,100,5.75,mist
19,Margate,GB,51.3813,1.3862,48.96,85,100,5.01,overcast clouds
20,Victoria,HK,22.2855,114.1577,68.18,85,96,4.0,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,64.47,86,100,3.4,light rain
22,Maniitsoq,GL,65.4167,-52.9,6.46,96,100,19.39,snow
23,Bengkulu,ID,-3.8004,102.2655,84.38,66,92,10.92,overcast clouds
24,Dunedin,NZ,-45.8742,170.5036,58.8,92,100,7.0,moderate rain
25,Dig,IN,27.4667,77.3333,65.25,71,92,10.18,overcast clouds
26,Falmouth,GB,50.1544,-5.0711,50.58,93,75,9.22,broken clouds
27,Portland,US,45.5234,-122.6762,47.7,91,75,3.0,broken clouds
28,Fara In Sabina,IT,42.2089,12.7292,42.57,61,0,1.01,clear sky
29,Payson,US,40.0444,-111.7321,38.41,63,0,1.99,clear sky
30,Bandarbeyla,SO,9.4942,50.8122,77.83,61,33,18.41,scattered clouds
31,Hilo,US,19.7297,-155.09,69.53,92,100,8.05,light rain
