City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-02-06 16:37:33,-46.1927,168.8643,40.48,99,3,2.01
1,Barrow,US,2022-02-06 16:37:33,71.2906,-156.7887,-20.18,69,75,8.05
2,Tsabong,BW,2022-02-06 16:37:34,-26.0217,22.401,83.46,38,98,15.35
3,Lima,PE,2022-02-06 16:35:24,-12.0432,-77.0282,75.38,76,0,5.75
4,Carbondale,US,2022-02-06 16:37:35,37.7273,-89.2168,36.77,61,0,11.5
5,Mae Sai,TH,2022-02-06 16:37:35,20.4335,99.8762,66.43,98,72,1.97
6,Punta Arenas,CL,2022-02-06 16:34:41,-53.15,-70.9167,68.11,49,75,17.27
7,Upernavik,GL,2022-02-06 16:37:36,72.7868,-56.1549,-9.54,93,100,5.44
8,Pisco,PE,2022-02-06 16:37:36,-13.7,-76.2167,70.02,83,99,10.36
9,Tabou,CI,2022-02-06 16:37:37,4.423,-7.3528,82.94,70,89,10.36
10,Galle,LK,2022-02-06 16:37:37,6.0367,80.217,77.29,82,78,3.2
11,Domazlice,CZ,2022-02-06 16:37:38,49.4405,12.9298,40.89,95,100,24.63
12,Fortuna,US,2022-02-06 16:37:39,40.5982,-124.1573,40.12,93,0,8.05
13,Ushuaia,AR,2022-02-06 16:37:39,-54.8,-68.3,51.46,62,75,4.61
14,Kodiak,US,2022-02-06 16:37:40,57.79,-152.4072,38.71,65,0,13.8
15,Ponta Do Sol,PT,2022-02-06 16:37:40,32.6667,-17.1,66.13,54,11,12.06
16,Saskylakh,RU,2022-02-06 16:37:41,71.9167,114.0833,-26.75,100,97,1.32
17,Tuma,RU,2022-02-06 16:37:41,55.148,40.5537,15.55,98,95,4.25
18,Namibe,AO,2022-02-06 16:37:42,-15.1961,12.1522,76.01,66,86,14.36
19,Carnarvon,AU,2022-02-06 16:37:42,-24.8667,113.6333,75.27,73,40,20.71
20,Albany,US,2022-02-06 16:37:25,42.6001,-73.9662,24.62,51,16,1.01
21,Guerrero Negro,MX,2022-02-06 16:37:43,27.9769,-114.0611,61.84,33,0,3.13
22,Hilo,US,2022-02-06 16:36:51,19.7297,-155.09,68.79,95,100,9.22
23,Visnes,NO,2022-02-06 16:37:44,59.3556,5.2242,39.25,75,20,26.46
24,Inirida,CO,2022-02-06 16:37:44,3.8653,-67.9239,86.18,68,81,3.36
25,Valdemarpils,LV,2022-02-06 16:37:45,57.3707,22.5919,35.02,94,99,8.68
26,Cape Town,ZA,2022-02-06 16:36:36,-33.9258,18.4232,80.89,43,0,1.01
27,Danielskuil,ZA,2022-02-06 16:37:45,-28.1887,23.5395,73.72,48,55,5.64
28,Bonavista,CA,2022-02-06 16:32:52,48.6499,-53.1147,18.12,68,100,25.46
29,New Norfolk,AU,2022-02-06 16:37:46,-42.7826,147.0587,54.72,69,40,2.1
30,Norman Wells,CA,2022-02-06 16:37:47,65.282,-126.8329,-16.56,76,75,5.75
31,Yellowknife,CA,2022-02-06 16:36:15,62.456,-114.3525,-10.59,86,75,11.5
32,Sistranda,NO,2022-02-06 16:37:48,63.7256,8.834,38.89,58,100,31.54
33,Coihaique,CL,2022-02-06 16:37:48,-45.5752,-72.0662,74.01,49,0,9.22
34,San Patricio,US,2022-02-06 16:37:49,28.017,-97.5169,57.92,64,0,3.44
35,Lasa,IT,2022-02-06 16:37:50,46.6166,10.7002,41.88,74,94,3.67
36,Vila,PT,2022-02-06 16:37:50,42.0304,-8.1588,50.32,62,49,4.54
37,Inta,RU,2022-02-06 16:37:51,66.0317,60.1659,-8.48,95,89,5.46
38,Saint George,US,2022-02-06 16:33:41,37.1041,-113.5841,48.67,31,0,6.91
39,Vaini,TO,2022-02-06 16:37:51,-21.2,-175.2,73.56,94,100,9.22
40,Suntar,RU,2022-02-06 16:37:52,62.1444,117.6319,2.12,98,100,2.13
41,Rikitea,PF,2022-02-06 16:37:52,-23.1203,-134.9692,78.78,71,91,16.08
42,Gidole,ET,2022-02-06 16:37:53,5.65,37.3667,68.7,27,100,1.23
43,Busselton,AU,2022-02-06 16:37:54,-33.65,115.3333,55.09,66,77,18.95
44,Pangnirtung,CA,2022-02-06 16:37:54,66.1451,-65.7125,-33.03,94,94,2.73
45,Samarai,PG,2022-02-06 16:37:55,-10.6167,150.6667,81.3,80,100,12.75
46,Porto Novo,BJ,2022-02-06 16:37:55,6.4965,2.6036,87.62,62,62,10.49
47,Seminole,US,2022-02-06 16:37:55,28.7086,-81.2081,66.99,89,100,1.01
48,Longyearbyen,SJ,2022-02-06 16:38:56,78.2186,15.6401,19.24,63,40,13.8
49,Hurghada,EG,2022-02-06 16:38:56,27.2574,33.8129,64.44,42,0,8.05
50,Ketchikan,US,2022-02-06 16:35:18,55.3422,-131.6461,45.07,93,100,21.85
51,Nikolskoye,RU,2022-02-06 16:38:57,59.7035,30.7861,34.88,94,100,12.3
52,Puerto Ayora,EC,2022-02-06 16:38:58,-0.7393,-90.3518,80.56,86,64,5.01
53,Miguel Alves,BR,2022-02-06 16:38:58,-4.1656,-42.8953,85.24,67,71,1.97
54,Tuktoyaktuk,CA,2022-02-06 16:38:59,69.4541,-133.0374,-20.2,76,75,16.11
55,Kapaa,US,2022-02-06 16:38:59,22.0752,-159.319,73.72,86,75,10.36
56,Dikson,RU,2022-02-06 16:39:00,73.5069,80.5464,-21.78,99,68,8.68
57,Iskateley,RU,2022-02-06 16:39:00,67.6803,53.1512,9.48,84,85,17.16
58,Bluff,NZ,2022-02-06 16:38:38,-46.6,168.3333,40.8,81,1,5.12
59,Bredasdorp,ZA,2022-02-06 16:39:01,-34.5322,20.0403,79.92,50,25,11.5
